,Place,Details,Class
978,Doosan Robotics,"Doosan Robotics’ industrial robots are able to handle and stack multiple heavy objects in busy manufacturing and production facilities. The company’s robots are also capable of loading and unloading CNC machines, like lathes and milling machines. They can also fasten screws, nuts and bolts to assemble items like thermostats, and can even take on complex tasks requiring human-like precision, like applying glue for car door junctions and heat exchangers",robotic
979,Hanwha Corporation,"Industrial robots developed by Hanwha Corporation/Momentum work in diverse sectors, ranging from automotive to pharmaceutical. In the automotive industry, the company’s robots assist in parts manufacturing, assembly and quality control. In the pharmaceutical industry, as well as food and cosmetics, Hanwha’s robots are able to pack, load and perform pick-and-place actions",robotic
980,ABB,"ABB’s portfolio of robotics products serves several industries, including healthcare, logistics, metal fabrication, construction and fabrication. Among those products are autonomous mobile robots and RobotStudio, which is an offline programming and simulation tool for robotic applications",robotic
981,STAUBLI,"Staubli's industrial robots combine small footprints with increased speed and precision. The company’s SCARA robots specialize in high-speed assembly, packaging and palletization, while their articulated robots offer increased dexterity and flexibility to assist in machine tending, washing, deburring and polishing applications. Stäubli’s industrial robots are also capable of working in aseptic environments for pharmaceutical operations and humid settings for food and beverage applications",robotic
982,Rapid Robotics,"Makes robotic solutions for manufacturing contexts. Its flagship offering is the Rapid Machine Operator, a robotic machine operator that’s marketed as a low-cost automation solution. This bare bones robot, which is set up and maintained by Rapid Robotics, is available by monthly subscription and can work in all major manufacturing sectors, from electronics to medical devices",robotic
983,Apptronik,Builds robots that are designed with dexterity and safety features that enable them to function alongside human workers. The company uses technology like machine learning to develop humanoid robots that can handle difficult-to-fill jobs in industries like logistics and construction,robotic
984,Boston Dynamics,"Spot robot looks like an AI dog robot, and it “has an inherent sense of balance and perception” that’s a product of an AI style the company refers to as “athletic intelligence.” Spot can be used for industrial inspections, allowing customers to use the robot remotely to navigate terrain that might be difficult or hazardous",robotic
985,AutoStore,"Through the use of robotics, AutoStore aids businesses with order fulfillment solutions. AutoStore specifically delivers cube storage automation, which optimizes space efficiency. The company offers five modules in its system: robots, grids, bins, ports and controllers. Each module’s function collaborates to retrieve order products, manage and store inventory and fulfill orders",robotic
986,GrayMatter Robotics,"Develops robotics and AI-based software to assist manufacturing operations. More specifically, the company strives to simplify tedious tasks by building AI brains for commercial robots. The company’s first development, Scan&Sand, is a floor operator that uses sensors to sand materials consistently",robotic
987,Futronics Corporation,"Building AI service robots for the healthcare industry, which will be managed through a cloud-based platform. The company believes its digital ecosystem will elevate efficiency and user experiences while patients are receiving care. Some of the robots will perform tasks like meal deliveries, walk training and personal transportation. The company’s automated software works as a command system that assigns tasks, monitors courses and reports data utilization for each robot",robotic
