Place,Details,Class,WordCount
Arles Amphitheatre,"['colosseum', 'arles', 'reign', 'roman', 'empire', 'end', 'century', 'ad', 'arena', 'transformed', 'fortress', 'middle', 'ages', 'rebuilt', 'arena', 'century', 'temporary', 'bullring', 'easter', 'spring', 'september', 'used', 'opera', 'house', 'theater', 'outdoor', 'theater', 'entire', 'arena', 'oval', 'long', 'diameter', 'meters', 'short', 'diameter', 'meters', 'height', 'meters', 'structure', 'surrounded', 'arches', 'although', 'building', 'roman', 'era', 'style', 'classical', 'greek', 'architecture', 'seen', 'pillars', 'decorations', 'stone', 'carvings', 'etc', 'climb', 'tower', 'entrance', 'view', 'ancient', 'city', 'arles', 'rhone', 'river', 'surrounding', 'mountains', 'current', 'arles', 'arena', 'famous', 'bullfights', 'still', 'use', 'today', 'places', 'france', 'bullfights', 'attractive', 'bullfighting', 'fans', 'often', 'hard', 'get', 'ticket', 'addition', 'bullfights', 'plays', 'concerts', 'held', 'summer']",None Related,205
Arrowtown,"['known', 'new', 'zealand', 'beautiful', 'autumn', 'town', 'arrowtown', 'around', 'queenstown', 'still', 'wooden', 'stone', 'buildings', 'town', 'well', 'preserved', 'still', 'use', 'today', 'arrowtown', 'rise', 'began', 'discovery', 'gold', 'arrow', 'river', 'flocked', 'seven', 'eight', 'times', 'population', 'town', 'today', 'flowers', 'blooming', 'stroll', 'along', 'buckingham', 'street', 'main', 'street', 'full', 'romantic', 'victorian', 'style', 'dazzled', 'dazzling', 'array', 'handicraft', 'stores', 'candy', 'stores', 'specialty', 'clothing', 'stores', 'around', 'pick', 'catalog', 'old', 'buildings', 'museum', 'spend', 'afternoon', 'feeling', 'unique', 'historical', 'charm', 'arrowtown', 'quiet', 'distant', 'atmosphere', 'quaint', 'town', 'definitely', 'bring', 'unique', 'autumn', 'feeling']",None Related,138
Arzeda,"['biotechnology', 'company', 'designing', 'custom', 'organisms', 'using', 'knowledge', 'synthetic', 'biology', 'computational', 'biology', 'production', 'specialty', 'bulk', 'chemical', 'products', 'arzeda', 'uses', 'proprietary', 'software', 'computational', 'enzyme', 'design', 'protein', 'optimization', 'metabolic', 'engineering', 'create', 'organisms', 'intended', 'produce', 'chemicals', 'industrial', 'scale']",Biotechnology,50
Asari,"['asari', 'otaru', 'city', 'hokkaido', 'faces', 'sea', 'beautiful', 'scenery', 'hurry', 'get', 'asari', 'station', 'walk', 'beach', 'blow', 'wind', 'feel', 'comfortable', 'bathing', 'beach', 'chaoli', 'open', 'every', 'summer', 'locals', 'come', 'walk', 'play', 'water', 'bask', 'sun', 'enjoy', 'leisurely', 'quiet', 'life', 'autumn', 'climb', 'mount', 'chaoli', 'watch', 'red', 'leaves', 'mountain']",None Related,92
Astra,"['astra', 'makes', 'engines', 'spacecraft', 'using', 'electric', 'propulsion', 'technology', 'provides', 'launch', 'services', 'space', 'missions', 'astra', 'reached', 'key', 'milestone', 'succeeding', 'first', 'commercial', 'launch', 'low', 'earth', 'orbit', 'company', 'says', 'launch', 'systems', 'designed', 'cost', 'efficient', 'payload', 'capacity', 'approximately', 'kg']",Aerospace,53
AstraZeneca,"['global', 'biopharmaceutical', 'company', 'develops', 'provides', 'medicines', 'various', 'diseases', 'cancer', 'cardiovascular', 'respiratory', 'infection', 'companies', 'involved', 'developing', 'vaccine', 'using', 'viral', 'vector', 'technology']",Biotechnology,37
Auckland Domain,"['auckland', 'central', 'park', 'old', 'park', 'auckland', 'covering', 'area', 'hectares', 'famous', 'huge', 'lawns', 'amphitheatre', 'exquisite', 'sculptures', 'museums', 'various', 'free', 'cultural', 'artistic', 'activities', 'every', 'summer', 'various', 'cultural', 'artistic', 'activities', 'concerts', 'often', 'held', 'tours', 'concerts', 'free', 'outdoor', 'christmas', 'concert', 'held', 'early', 'december', 'every', 'year', 'auckland', 'park', 'christmas', 'popular', 'christmas', 'carnivals', 'auckland', 'recreational', 'play', 'ca', 'catch', 'time', 'recreations', 'park', 'example', 'go', 'lake', 'play', 'interesting', 'birds', 'fowls', 'afraid', 'life', 'even', 'close', 'leave', 'enthusiastically', 'come', 'waiting', 'feed', 'addition', 'walking', 'lawn', 'feeding', 'ducks', 'lake', 'central', 'park', 'enjoy', 'performances', 'amphitheater', 'watch', 'various', 'flowers', 'greenhouse', 'garden', 'taste', 'art', 'exquisite', 'sculpture', 'auckland', 'museum', 'auckland', 'museum', 'central', 'park', 'museum', 'new', 'zealand', 'history', 'especially', 'maori', 'history', 'well', 'nature', 'museum', 'war', 'memorial']",None Related,215
Auckland War Memorial Museum,"['auckland', 'museum', 'known', 'auckland', 'war', 'memorial', 'museum', 'described', 'touchstone', 'new', 'zealander', 'culture', 'spirit', 'museum', 'showing', 'maori', 'history', 'culture', 'war', 'memorial', 'reflecting', 'history', 'world', 'war', 'ii', 'overview', 'museum', 'museum', 'auckland', 'central', 'park', 'heart', 'city', 'impressive', 'neoclassical', 'building', 'different', 'contents', 'floor', 'first', 'floor', 'showcases', 'life', 'south', 'pacific', 'islanders', 'unique', 'ethnic', 'handicrafts', 'restored', 'maori', 'meeting', 'places', 'daily', 'necessities', 'exhibitions', 'including', 'battle', 'boat', 'second', 'floor', 'natural', 'science', 'exhibition', 'includes', 'information', 'origin', 'earth', 'origin', 'life', 'various', 'animal', 'plant', 'materials', 'specimens', 'third', 'floor', 'displays', 'weapons', 'used', 'world', 'wars', 'commemorate', 'soldiers', 'died', 'two', 'wars', 'watch', 'maori', 'cultural', 'performances', 'learn', 'new', 'zealand', 'cultural', 'history', 'auckland', 'museum', 'conducts', 'rich', 'maori', 'cultural', 'performances', 'every', 'day', 'including', 'welcome', 'ceremonies', 'cotton', 'ball', 'songs', 'dances', 'stick', 'dances', 'weapon', 'demonstrations', 'maori', 'war', 'dances', 'embody', 'essence', 'tribal', 'culture', 'extreme', 'performance', 'minutes', 'long', 'museum', 'designed', 'interactive', 'worth', 'savoring', 'priceless', 'māori', 'treasures', 'splendid', 'natural', 'history', 'wonderful', 'māori', 'cultural', 'performances', 'occasional', 'exhibitions', 'must', 'best', 'choice', 'learn', 'new', 'zealand']",None Related,241
Auckland Zoo,"['auckland', 'zoo', 'zoo', 'new', 'zealand', 'west', 'albert', 'park', 'design', 'park', 'good', 'paradise', 'photographers', 'six', 'themed', 'ecological', 'areas', 'new', 'zealand', 'animal', 'display', 'area', 'divided', 'six', 'themed', 'ecological', 'areas', 'namely', 'beaches', 'islands', 'wetlands', 'nocturnal', 'animals', 'forests', 'mountains', 'kinds', 'local', 'foreign', 'animals', 'park', 'common', 'animals', 'elephants', 'giraffes', 'lions', 'rare', 'animals', 'white', 'rhinos', 'lemurs', 'among', 'kiwi', 'kiwi', 'famous', 'due', 'degenerated', 'wings', 'fly', 'life', 'span', 'reach', 'years', 'unique', 'species', 'new', 'zealand', 'national', 'bird', 'symbol', 'new', 'zealand', 'close', 'contact', 'animals', 'attractive', 'points', 'tourists', 'get', 'close', 'contact', 'animals', 'giraffes', 'parrots']",None Related,159
Aurora Flight Sciences,"['industry', 'leader', 'development', 'manufacturing', 'advanced', 'unmanned', 'aircraft', 'systems', 'aerospace', 'vehicles', 'focusing', 'developing', 'technologies', 'travel', 'robotic', 'autonomous', 'craft', 'much', 'company', 'recent', 'success', 'come', 'collaborating', 'boeing', 'rapid', 'prototyping', 'commercial', 'military', 'aircraft', 'structural', 'assemblies', 'company', 'utilizes', 'rapid', 'prototyping', 'techniques', 'advanced', 'composite', 'materials', 'drive', 'costs', 'improve', 'quality', 'performance', 'safety']",Aerospace,76
AutoGuide Mobile Robots,"['autoguide', 'mobile', 'robots', 'leading', 'manufacturer', 'autonomous', 'mobile', 'robots', 'amrs', 'material', 'handling', 'automated', 'transport', 'industrial', 'applications', 'company', 'offers', 'range', 'amrs', 'designed', 'improve', 'efficiency', 'productivity', 'various', 'industries', 'including', 'manufacturing', 'distribution', 'logistics', 'robots', 'designed', 'work', 'alongside', 'humans', 'improving', 'safety', 'reducing', 'labor', 'costs', 'increasing', 'throughput']",Robotic,58
AutoStore,"['use', 'robotics', 'autostore', 'aids', 'businesses', 'order', 'fulfillment', 'solutions', 'autostore', 'specifically', 'delivers', 'cube', 'storage', 'automation', 'optimizes', 'space', 'efficiency', 'company', 'offers', 'five', 'modules', 'system', 'robots', 'grids', 'bins', 'ports', 'controllers', 'module', 'function', 'collaborates', 'retrieve', 'order', 'products', 'manage', 'store', 'inventory', 'fulfill', 'orders']",Robotic,51
Avax Technologies,"['pioneer', 'cancer', 'vaccine', 'development', 'avax', 'technologies', 'internationally', 'integrated', 'biotechnology', 'company', 'focused', 'developing', 'commercializing', 'ac', 'vaccine', 'technology', 'treatment', 'cancer']",Biotechnology,29
Avenida da Liberdade,"['liberty', 'avenue', 'main', 'street', 'lisbon', 'prosperous', 'commercial', 'street', 'kilometers', 'long', 'exquisitely', 'paved', 'stone', 'walkway', 'inlaid', 'beautiful', 'painted', 'floor', 'tiles', 'sides', 'road', 'endless', 'dense', 'trees', 'hotels', 'various', 'fashion', 'shops', 'known', 'portugal', 'champs', 'elysees', 'liberty', 'avenue', 'divides', 'lisbon', 'two', 'major', 'areas', 'part', 'old', 'city', 'alfama', 'west', 'side', 'roughly', 'divided', 'two', 'major', 'areas', 'north', 'south', 'bairro', 'alto', 'area', 'north', 'bairro', 'alto', 'area', 'south', 'chiado', 'street', 'lisbon', 'earthquake', 'considered', 'masterpiece', 'lisbon', 'reconstruction', 'history', 'square', 'north', 'end', 'liberty', 'avenue', 'statue', 'prime', 'minister', 'marquis', 'de', 'pombal', 'worked', 'hard', 'reconstruction', 'work']",None Related,149
Avenue des Champs-Élysées,"['avenue', 'des', 'paris', 'famous', 'avenues', 'heart', 'french', 'fashion', 'countless', 'famous', 'international', 'brands', 'gathered', 'disney', 'louis', 'vuitton', 'paris', 'fashion', 'capital', 'world', 'fashion', 'capital', 'paris', 'matter', 'style', 'visitors', 'sure', 'find', 'something', 'slowly', 'stroll', 'along', 'champs', 'elysées', 'eventually', 'come', 'arc', 'de', 'triomphe', 'windows', 'facing', 'street', 'filled', 'elaborate', 'displays', 'fashionable', 'brands', 'newest', 'product', 'lines', 'nothing', 'else', 'meet', 'heart', 'desires', 'going', 'window', 'shopping']",None Related,106
Avon River,"['seats', 'bank', 'river', 'section', 'sit', 'rest', 'tired', 'walking', 'gondola', 'visit', 'scenery', 'sides', 'avon', 'river', 'enough', 'time', 'might', 'well', 'gondola', 'punting', 'go', 'boating', 'avon', 'river', 'swaying', 'slowly', 'calm', 'river', 'enjoy', 'pleasant', 'time', 'time', 'enjoy', 'charming', 'scenery', 'along', 'way', 'romantic', 'boarding', 'point', 'antigua', 'boat', 'sheds', 'journey', 'boatman', 'tell', 'history', 'anecdotes', 'coastal', 'scenery', 'blankets', 'umbrellas', 'even', 'thermos', 'provided', 'board', 'go', 'rafting', 'even', 'cold', 'winter', 'months', 'rent', 'rubber', 'boats', 'kayaks', 'explore', 'avon', 'river']",None Related,152
Awana SkyWay,"['admire', 'picturesque', 'landscape', 'genting', 'highlands', 'stunning', 'panoramic', 'overlook', 'tropical', 'rainforest', 'exciting', 'century', 'fox', 'world', 'feel', 'cool', 'mountain', 'air', 'enjoy', 'ultimate', 'experience', 'like', 'flying', 'high', 'sky', 'admire', 'tropical', 'rainforest', 'stunning', 'views', 'enjoy', 'extraordinary', 'air', 'journey']",None Related,61
Ayung River Rafting,"['exciting', 'rafting', 'challenge', 'bali', 'enjoy', 'leisurely', 'relaxing', 'admire', 'dense', 'rainforests', 'waterfalls', 'canyons', 'along', 'way', 'immerse', 'embrace', 'provide', 'considerate', 'convenient', 'services', 'complete', 'interesting', 'exciting', 'adventure', 'experience', 'whitewater', 'rafting', 'experience', 'ayung', 'river', 'dissipate', 'heat', 'keep', 'good', 'mood', 'fun', 'embark', 'rafting', 'trip', 'island', 'longest', 'river', 'face', 'rapid', 'another', 'use', 'team', 'spirit', 'working', 'together', 'successfully', 'conquer', 'rapids', 'challenge']",None Related,101
Ayung River Rafting,"['exciting', 'rafting', 'challenge', 'bali', 'enjoy', 'leisurely', 'relaxing', 'admire', 'dense', 'rainforests', 'waterfalls', 'canyons', 'along', 'way', 'immerse', 'embrace', 'provide', 'considerate', 'convenient', 'services', 'complete', 'interesting', 'exciting', 'adventure', 'experience', 'whitewater', 'rafting', 'experience', 'ayung', 'river', 'dissipate', 'heat', 'keep', 'good', 'mood', 'fun', 'embark', 'rafting', 'trip', 'island', 'longest', 'river', 'face', 'rapid', 'another', 'use', 'team', 'spirit', 'working', 'together', 'successfully', 'conquer', 'rapids', 'challenge']",None Related,101
Aït Benhaddou,"['fortified', 'village', 'ait', 'ben', 'haddou', 'small', 'village', 'atlas', 'mountains', 'southern', 'morocco', 'village', 'century', 'ad', 'villages', 'beautiful', 'scenery', 'renowned', 'morocco', 'ancient', 'village', 'red', 'houses', 'earth', 'walls', 'almost', 'connected', 'reflects', 'defensive', 'character', 'residents', 'place', 'hollywood', 'directors', 'tend', 'shoot', 'hollywood', 'blockbusters', 'filmed', 'lawrence', 'arabia', 'treasure', 'nile', 'mummy', 'filming', 'locations', 'game', 'thrones', 'attracted', 'tourists']",None Related,109
Bahia Palace,"['bahia', 'palace', 'elegant', 'palace', 'marrakech', 'dignitary', 'time', 'end', 'nineteenth', 'century', 'relatively', 'complete', 'monument', 'area', 'buildings', 'covered', 'islamic', 'carvings', 'mosaic', 'tiles', 'whole', 'exquisite', 'elegant', 'worth', 'visiting']",None Related,60
Baie des Anges,"['angel', 'bay', 'adjacent', 'english', 'promenade', 'named', 'shape', 'wings', 'angel', 'beautiful', 'beach', 'france', 'good', 'place', 'spend', 'summer', 'climbing', 'castle', 'overlooking', 'east', 'better', 'angle', 'appreciate', 'angel', 'bay', 'beaches', 'nice', 'special', 'beach', 'paved', 'pebbles', 'directly', 'use', 'backpack', 'pillow', 'lie', 'coast', 'enjoy', 'luxurious', 'sunbathing', 'listen', 'sound', 'sea', 'flowing', 'cracks', 'rocks', 'tide', 'hits', 'pebbles']",None Related,101
Baie du Tamarin,"['come', 'mauritius', 'must', 'choose', 'go', 'sea', 'greater', 'pleasure', 'going', 'sea', 'dolphins', 'dolphin', 'bay', 'tamarin', 'town', 'west', 'coast', 'mauritius', 'surrounded', 'mountains', 'beautiful', 'scenery', 'want', 'dolphins', 'must', 'speedboat', 'speedboat', 'finds', 'dolphins', 'turn', 'head', 'keep', 'dolphins', 'close', 'addition', 'several', 'companies', 'offer', 'swimming', 'services', 'wild', 'dolphins', 'luxury', 'resorts', 'small', 'towns', 'dedicated', 'dinghies', 'guests', 'shoes', 'need', 'taken', 'boarding', 'ship', 'collected', 'crew', 'stored', 'several', 'boxes', 'barefoot', 'set', 'foot', 'cleaned', 'ship', 'speedboat', 'left', 'pier', 'sailed', 'towards', 'middle', 'sea', 'weather', 'good', 'time', 'water', 'sparkling', 'boat', 'sailed', 'farther', 'farther', 'color', 'water', 'changed', 'green', 'sapphire', 'blue', 'dark', 'blue', 'arrive', 'bay', 'need', 'wait', 'dolphins', 'appear', 'generally', 'dolphins', 'predation', 'stage', 'time', 'probability', 'seeing', 'dolphins', 'bottlenose', 'dolphin', 'mao', 'island', 'best', 'places', 'world', 'get', 'close', 'personal', 'bottlenose', 'dolphins', 'common', 'species', 'dolphin', 'little', 'gray', 'creatures', 'live', 'warm', 'water', 'named', 'elongated', 'snouts', 'swim', 'fast', 'said', 'dolphins', 'generally', 'swim', 'speed', 'kilometers', 'per', 'hour', 'reach', 'kilometers', 'per', 'hour', 'faster', 'however', 'speed', 'maintained', 'lasts', 'short', 'time', 'bottlenose', 'dolphins', 'breathe', 'water', 'jets', 'heads', 'get', 'surface', 'every', 'minutes', 'breathe', 'dolphins', 'appeared', 'around', 'began', 'cheer', 'cheer', 'whole', 'dolphin', 'bay', 'filled', 'joy', 'dolphins', 'always', 'near', 'far', 'boats', 'keep', 'chasing', 'dolphins', 'whenever', 'dolphin', 'swims', 'front', 'boat', 'boat', 'excited', 'exclaimed', 'constantly', 'dolphins', 'often', 'respond', 'exclamations', 'jump', 'water', 'happily', 'even', 'nice', 'front', 'flip', 'dolphins', 'sprang', 'water', 'time', 'time', 'exclaiming', 'another', 'groups', 'dolphins', 'happily', 'swimming', 'sea', 'waves', 'time', 'jump', 'water', 'swim', 'sea', 'chasing', 'sea', 'wisps', 'sun', 'beams', 'shoot', 'sea', 'front', 'looks', 'like', 'palace', 'brilliant', 'golden', 'walls', 'seabed', 'ten', 'meters', 'deep', 'covered', 'coral', 'hundred', 'dolphins', 'swim', 'groups', 'within', 'field', 'vision', 'sea', 'breathe', 'sink', 'bottom', 'sea', 'wonderful', 'interaction', 'dolphins', 'seen', 'constantly', 'swimming', 'interacting', 'divers', 'afraid', 'humans', 'friendly', 'visiting', 'dolphins', 'speedboat', 'back', 'shore', 'next', 'attraction']",None Related,571
